Nombre cliente,aviso_padre, IDaviso,Provincia,Ciudad,Zona/colonia,Zona aviso,Tipo de operación,Tipo de propiedad,Tipo de aviso,Destaque,Moneda,Precio,Mt2 totales,Ambientes,Habitaciones,Impresiones,Visitas,Leads,Calidad
CRESTALE PROPIEDADES S.A.,SI,47830855,Santa Fe,Funes,Zona 10,Kentucky,Venta,Terrenos,Avisos,Super Destacado,USD,$950.000,2400,0,0,1.235,2,,Completo
CRESTALE PROPIEDADES S.A.,SI,51749823,Santa Fe,Rosario,Alberdi,,Venta,Casa,Avisos,Super Destacado,USD,$0,2438,4,9,12.305,54,1,Completo
CRESTALE PROPIEDADES S.A.,SI,53171223,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Avisos,Super Destacado,USD,$190.000,87,2,3,1.653,7,,Completo
CRESTALE PROPIEDADES S.A.,SI,53186241,Santa Fe,Rosario,Alberdi,,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,1.513,30,1,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,53186242,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$68.000,77,3,2,0,5,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,53186244,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$79.900,94,3,2,0,2,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,53186705,Santa Fe,Rosario,Alberdi,,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,491,15,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,53186807,Santa Fe,Rosario,Alberdi,,Venta,Garage,Desarrollos,Super Destacado,USD,$10.000,0,0,0,0,3,,Sin Datos
CRESTALE PROPIEDADES S.A.,SI,53210377,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Avisos,Simple,USD,$65.000,60,2,3,234,5,,Completo
CRESTALE PROPIEDADES S.A.,SI,53264839,Santa Fe,Rosario,Alberdi,,Venta,Casa,Avisos,Super Destacado,USD,$240.000,239,4,9,3.379,32,,Completo
CRESTALE PROPIEDADES S.A.,SI,54265057,Santa Fe,Rosario,Alberdi,,Venta,Vertical,Desarrollos,Super Destacado,,,0,,0,1.781,55,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54265105,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$810.000,440,4,3,0,1,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54265110,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$410.000,165,4,3,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54265111,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$430.000,250,3,2,0,2,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54265113,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$320.000,126,3,2,0,4,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54265114,Santa Fe,Rosario,Alberdi,,Venta,Apartamento,Desarrollos,Super Destacado,USD,$370.000,151,3,2,0,2,,Sin Datos
